2018-05-01 15:54:42.8633 Gate     004 (PingComponent.cs:41) 有用户退出
2018-05-01 21:49:09.4144 Gate     004 (SessionGatePlayerComponent.cs:16) 有用户退出
2018-05-01 21:51:00.6346 Gate     004 (SessionGatePlayerComponent.cs:16) 有用户退出
2018-05-01 21:51:00.6453 Gate     004 (SessionGatePlayerComponent.cs:21) 000000000
2018-05-01 21:51:00.6509 Gate     004 (SessionGatePlayerComponent.cs:23) 1111111111
2018-05-01 21:51:00.6560 Gate     004 (SessionGatePlayerComponent.cs:25) 222222222
2018-05-01 21:51:00.6622 Gate     004 (SessionGatePlayerComponent.cs:32) 333333333333
2018-05-01 21:51:00.6708 Gate     004 (SessionGatePlayerComponent.cs:34) 444444444444
2018-05-01 21:51:00.6744 Gate     004 (SessionGatePlayerComponent.cs:36) 555555555
2018-05-01 21:51:00.6790 Gate     004 (SessionGatePlayerComponent.cs:37) 6666666666
2018-05-01 21:54:00.6510 Gate     004 (EnterGateHandler.cs:38) 000000000
2018-05-01 21:54:00.6601 Gate     004 (EnterGateHandler.cs:40) 111111111
2018-05-01 21:54:00.6657 Gate     004 (EnterGateHandler.cs:44) 2222222222
2018-05-01 21:54:00.6869 Gate     004 (EnterGateHandler.cs:48) 3333333333
2018-05-01 21:54:00.6953 Gate     004 (EnterGateHandler.cs:52) 444444444
2018-05-01 21:54:00.7018 Gate     004 (EnterGateHandler.cs:53) 555555555
2018-05-01 21:56:11.3833 Gate     004 (PingHandler.cs:14) 000000000
2018-05-01 21:56:11.3898 Gate     004 (PingHandler.cs:16) 111111111111
2018-05-01 21:57:12.0771 Gate     004 (PingHandler.cs:18) 000000000
2018-05-01 22:12:35.6311 Gate     004 (PingHandler.cs:18) 000000000
2018-05-01 22:12:37.8609 Gate     004 (SessionGatePlayerComponent.cs:16) 有用户退出
2018-05-01 22:19:22.9306 Gate     004 (GatePlayerManageComponent.cs:89) 000000000000
2018-05-01 22:19:22.9394 Gate     004 (GatePlayerManageComponent.cs:91) 11111111111111
2018-05-01 22:23:04.8146 Gate     004 (GatePlayerManageComponent.cs:48) 662864470409257
2018-05-01 22:23:04.8233 Gate     004 (GatePlayerManageComponent.cs:50) 662864470409257
2018-05-01 22:23:08.8688 Gate     004 (GatePlayerManageComponent.cs:93) 000000000000
2018-05-01 22:23:08.8736 Gate     004 (GatePlayerManageComponent.cs:95) 11111111111111
2018-05-01 22:25:46.2980 Gate     004 (SessionGatePlayerComponent.cs:16) 有用户退出
2018-05-01 22:26:17.0292 Gate     004 (SessionGatePlayerComponent.cs:16) 有用户退出
2018-05-01 22:27:16.6808 Gate     004 (SessionGatePlayerComponent.cs:16) 有用户退出
2018-05-01 22:34:38.4834 Gate     004 (SessionGatePlayerComponent.cs:16) 有用户退出
2018-05-01 22:34:38.4986 Gate     004 (GatePlayerManageComponent.cs:77) 0000000
2018-05-01 22:34:38.5033 Gate     004 (GatePlayerManageComponent.cs:79) 1111111
2018-05-01 22:34:38.5075 Gate     004 (GatePlayerManageComponent.cs:84) 玩家数量 ：0
2018-05-01 22:34:41.2617 Gate     004 (GatePlayerManageComponent.cs:77) 0000000
2018-05-01 23:08:27.1294 Gate     004 (SessionGatePlayerComponent.cs:16) 有用户退出
2018-05-01 23:08:27.1456 Gate     004 (GatePlayerManageComponent.cs:83) 玩家数量 ：0
